Source,Model,Raw_Text,Year,Price,Naval_Price
outside_202601.pdf,LEXUS,"LEXUS CT200h 銀 2012/03 1798 自排 1 55,000 油電 251,364km A+",2012/03,55000,63249
outside_202601.pdf,LEXUS,"LEXUS CT200h 白 2013/04 1798 自排 1 70,000 油電 462,932km B",2013/04,70000,80500
outside_202601.pdf,LEXUS,"LEXUS CT200h 白 2014/01 1798 自排 2 54,000 油電 197,332km B++",2014/01,54000,62099
outside_202601.pdf,LEXUS,"LEXUS CT200h 白 2014/11 1798 自排 3 50,000 油電 72,575km B",2014/11,50000,57499
outside_202601.pdf,LEXUS,"LEXUS CT200h 白黑 2015/09 1798 自排 4 50,000 油電 137,763km A+",2015/09,50000,57499
outside_202601.pdf,LEXUS,"LEXUS CT200h 白 2017/08 1798 自排 5 45,000 油電 79,265km A",2017/08,45000,51749
outside_202601.pdf,LEXUS,"LEXUS ES200 黑 2018/09 1998 手自排 7 68,000 汽油 60,733km A",2018/09,68000,78200
outside_202601.pdf,LEXUS,"LEXUS ES200 白 2018/12 1998 手自排 5 59,000 汽油 179,725km C+",2018/12,59000,67850
outside_202601.pdf,LEXUS,"LEXUS ES200 黑 2021/06 1987 手自排 8 99,000 汽油 55,639km A+",2021/06,99000,113849
outside_202601.pdf,LEXUS,"LEXUS ES200 黑 2021/11 1987 手自排 9 84,000 汽油 43,357km A+",2021/11,84000,96599
outside_202601.pdf,LEXUS,"LEXUS ES200 白 2024/01 1987 手自排 1 ,083,000 汽油 25,403km B++",2024/01,83000,95449
outside_202601.pdf,LEXUS,"LEXUS ES200 白 2024/06 1987 手自排 1 ,143,000 汽油 16,187km A+",2024/06,143000,164450
outside_202601.pdf,LEXUS,"LEXUS ES250 白 2019/04 2487 手自排 8 58,000 汽油 29,544km A+",2019/04,58000,66700
outside_202601.pdf,LEXUS,"LEXUS ES300h 黑 2013/02 2494 手自排 1 85,000 油電 239,928km B",2013/02,85000,97749
outside_202601.pdf,LEXUS,"LEXUS ES300h 灰 2013/10 2494 手自排 1 86,000 油電 163,594km B",2013/10,86000,98899
outside_202601.pdf,LEXUS,"LEXUS ES300h 銀 2013/11 2494 手自排 2 41,000 油電 165,906km A",2013/11,41000,47149
